Date,SecuritiesCode,Close
2021-12-17,6954,24255
2021-12-17,7309,32180
2021-12-17,7453,1774
2021-12-17,7717,3450
2021-12-17,7974,52930
2021-12-17,8035,61270
2021-12-17,9022,15940
2021-12-17,9435,18030
2021-12-17,9605,18190
2021-12-17,9843,18725
2021-12-17,9983,68060
2021-12-20,1878,13050
2021-12-20,3349,17540
2021-12-20,4628,37650.0
2021-12-20,4684,21130
2021-12-20,4922,13270
2021-12-20,6146,32900
2021-12-20,6273,75120
2021-12-20,6367,25035
2021-12-20,6861,71580
2021-12-20,6954,23535
2021-12-20,7309,32030
2021-12-20,7453,1750
2021-12-20,7717,3335
2021-12-20,7974,53510
2021-12-20,8035,59600
2021-12-20,9022,15545
2021-12-20,9435,17600
2021-12-20,9605,17550
2021-12-20,9843,18255
2021-12-20,9983,66560
2021-12-21,1878,13100
2021-12-21,3349,17540
2021-12-21,4628,37250.0
2021-12-21,4684,21290
2021-12-21,4922,13390
2021-12-21,6146,34100
2021-12-21,6273,76330
2021-12-21,6367,25320
2021-12-21,6861,73040
2021-12-21,6954,24175
2021-12-21,7309,32110
2021-12-21,7453,1775
2021-12-21,7717,3410
2021-12-21,7974,55500
2021-12-21,8035,62220
2021-12-21,9022,15595
2021-12-21,9435,17930
2021-12-21,9605,17760
2021-12-21,9843,18555
2021-12-21,9983,68350
2021-12-22,1878,13020
2021-12-22,3349,16980
2021-12-22,4628,37350.0
2021-12-22,4684,21560
2021-12-22,4922,13420
2021-12-22,6146,34150
2021-12-22,6273,75500
2021-12-22,6367,25325
2021-12-22,6861,73420
2021-12-22,6954,23960
2021-12-22,7309,31930
2021-12-22,7453,1771
2021-12-22,7717,3410
2021-12-22,7974,54580
2021-12-22,8035,62680
2021-12-22,9022,15530
2021-12-22,9435,17940
2021-12-22,9605,17260
2021-12-22,9843,18465
2021-12-22,9983,68300
2021-12-23,1878,13100
2021-12-23,3349,17050
2021-12-23,4628,37900.0
2021-12-23,4684,21560
2021-12-23,4922,13340
2021-12-23,6146,34350
2021-12-23,6273,76380
2021-12-23,6367,25585
2021-12-23,6861,74500
2021-12-23,6954,24045
2021-12-23,7309,31940
2021-12-23,7453,1776
2021-12-23,7717,3500
2021-12-23,7974,55400
2021-12-23,8035,63500
2021-12-23,9022,15695
2021-12-23,9435,17840
2021-12-23,9605,17470
2021-12-23,9843,18380
2021-12-23,9983,68200
2021-12-24,1878,12970
2021-12-24,3349,16740
2021-12-24,4628,37900.0
2021-12-24,4684,21260
2021-12-24,4922,13240
2021-12-24,6146,34700
2021-12-24,6273,77170
2021-12-24,6367,25840
2021-12-24,6861,74090
2021-12-24,6954,24155
2021-12-24,7309,31680
2021-12-24,7453,1756
2021-12-24,7717,3525
2021-12-24,7974,55430
2021-12-24,8035,64260
2021-12-24,9022,15490
2021-12-24,9435,17790
2021-12-24,9605,17050
2021-12-24,9843,18150
2021-12-24,9983,67540
2021-12-27,1878,12800
2021-12-27,3349,16610
2021-12-27,4628,37750.0
2021-12-27,4684,21310
2021-12-27,4922,13070
2021-12-27,6146,34800
2021-12-27,6273,76570
2021-12-27,6367,25750
2021-12-27,6861,73180
2021-12-27,6954,24045
2021-12-27,7309,30690
2021-12-27,7453,1728
2021-12-27,7717,3435
2021-12-27,7974,55400
2021-12-27,8035,65600
2021-12-27,9022,15360
2021-12-27,9435,17550
2021-12-27,9605,17050
2021-12-27,9843,16965
2021-12-27,9983,66360
2021-12-28,1878,13000
2021-12-28,3349,16940
2021-12-28,4628,37650.0
2021-12-28,4684,21830
2021-12-28,4922,13330
2021-12-28,6146,35150
2021-12-28,6273,77660
2021-12-28,6367,26445
2021-12-28,6861,73620
2021-12-28,6954,24640
2021-12-28,7309,31730
2021-12-28,7453,1740
2021-12-28,7717,3490
2021-12-28,7974,55060
2021-12-28,8035,66790
2021-12-28,9022,15405
2021-12-28,9435,17880
2021-12-28,9605,17560
2021-12-28,9843,17680
2021-12-28,9983,66140
2021-12-29,1878,13140
2021-12-29,3349,17100
2021-12-29,4628,38000.0
2021-12-29,4684,21730
2021-12-29,4922,13180
2021-12-29,6146,35150
2021-12-29,6273,77000
2021-12-29,6367,26210
2021-12-29,6861,71880
2021-12-29,6954,24480
2021-12-29,7309,30900
2021-12-29,7453,1751
2021-12-29,7717,3575
2021-12-29,7974,54760
2021-12-29,8035,66140
2021-12-29,9022,15545
2021-12-29,9435,17960
2021-12-29,9605,17140
2021-12-29,9843,17515
2021-12-29,9983,65670
2021-12-30,1878,13170
2021-12-30,3349,16930
2021-12-30,4628,37800.0
2021-12-30,4684,21600
2021-12-30,4922,13050
2021-12-30,6146,35150
2021-12-30,6273,77590
2021-12-30,6367,26090
2021-12-30,6861,72280
2021-12-30,6954,24380
2021-12-30,7309,30660
2021-12-30,7453,1754
2021-12-30,7717,3595
2021-12-30,7974,53650
2021-12-30,8035,66280
2021-12-30,9022,15345
2021-12-30,9435,17710
2021-12-30,9605,17540
2021-12-30,9843,17225
2021-12-30,9983,65310
2022-01-04,1878,13380
2022-01-04,3349,17170
2022-01-04,4628,37900.0
2022-01-04,4684,22030
2022-01-04,4922,13330
2022-01-04,6146,36000
2022-01-04,6273,79080
2022-01-04,6367,26310
2022-01-04,6861,73820
2022-01-04,6954,24870
2022-01-04,7309,30990
2022-01-04,7453,1775
2022-01-04,7717,3690
2022-01-04,7974,54380
2022-01-04,8035,68420
2022-01-04,9022,15295
2022-01-04,9435,17900
2022-01-04,9605,17400
2022-01-04,9843,17470
2022-01-04,9983,64840
2022-01-05,1878,13550
2022-01-05,3349,16750
2022-01-05,4628,39200.0
2022-01-05,4684,21810
2022-01-05,4922,13160
2022-01-05,6146,35400
2022-01-05,6273,79010
2022-01-05,6367,26670
2022-01-05,6861,73860
2022-01-05,6954,25300
2022-01-05,7309,31270
2022-01-05,7453,1761
2022-01-05,7717,3685
2022-01-05,7974,53340
2022-01-05,8035,67460
2022-01-05,9022,15300
2022-01-05,9435,18090
2022-01-05,9605,16830
2022-01-05,9843,17855
2022-01-05,9983,64010
2022-01-06,1878,13100
2022-01-06,3349,16700
2022-01-06,4628,38900.0
2022-01-06,4684,20560
2022-01-06,4922,13110
2022-01-06,6146,34550
2022-01-06,6273,76810
2022-01-06,6367,26100
2022-01-06,6861,69900
2022-01-06,6954,24650
2022-01-06,7309,31430
2022-01-06,7453,1726
2022-01-06,7717,3575
2022-01-06,7974,53060
2022-01-06,8035,65010
2022-01-06,9022,14985
2022-01-06,9435,17410
2022-01-06,9605,16140
2022-01-06,9843,17640
2022-01-06,9983,60880
2022-01-07,1878,13490
2022-01-07,3349,16390
2022-01-07,4628,38950.0
2022-01-07,4684,19820
2022-01-07,4922,12620
2022-01-07,6146,35350
2022-01-07,6273,75580
2022-01-07,6367,25805
2022-01-07,6861,67850
2022-01-07,6954,24775
2022-01-07,7309,30520
2022-01-07,7453,1724
2022-01-07,7717,3600
2022-01-07,7974,53800
2022-01-07,8035,64920
2022-01-07,9022,14785
2022-01-07,9435,17620
2022-01-07,9605,16100
2022-01-07,9843,17460
2022-01-07,9983,60670
2022-01-11,1878,13060
2022-01-11,3349,15730
2022-01-11,4628,38950.0
2022-01-11,4684,19110
2022-01-11,4922,11520
2022-01-11,6146,34700
2022-01-11,6273,72510
2022-01-11,6367,25755
2022-01-11,6861,62500
2022-01-11,6954,24180
2022-01-11,7309,30060
2022-01-11,7453,1646
2022-01-11,7717,3565
2022-01-11,7974,53830
2022-01-11,8035,62750
2022-01-11,9022,14815
2022-01-11,9435,17630
2022-01-11,9605,16280
2022-01-11,9843,17285
2022-01-11,9983,59260
2022-01-12,1878,13450
2022-01-12,3349,16070
2022-01-12,4628,39000.0
2022-01-12,4684,19290
2022-01-12,4922,11650
2022-01-12,6146,35750
2022-01-12,6273,74870
2022-01-12,6367,26505
2022-01-12,6861,65610
2022-01-12,6954,24505
2022-01-12,7309,30460
2022-01-12,7453,1679
2022-01-12,7717,3675
2022-01-12,7974,53590
2022-01-12,8035,65100
2022-01-12,9022,15065
2022-01-12,9435,18000
2022-01-12,9605,16320
2022-01-12,9843,17385
2022-01-12,9983,60300
2022-01-13,1878,13450
2022-01-13,3349,16380
2022-01-13,4684,18350
2022-01-13,4922,11070
2022-01-13,6146,34900
2022-01-13,6273,72220
2022-01-13,6367,26020
2022-01-13,6861,64210
2022-01-13,6954,23920
2022-01-13,7309,29555
2022-01-13,7453,1657
2022-01-13,7717,3695
2022-01-13,7974,52730
2022-01-13,8035,65330
2022-01-13,9022,14720
2022-01-13,9435,17010
2022-01-13,9605,16060
2022-01-13,9843,16990
2022-01-13,9983,59140
2022-01-14,1878,13290
2022-01-14,3349,15670
2022-01-14,4628,38750.0
2022-01-14,4684,18250
2022-01-14,4922,11010
2022-01-14,6146,35150
2022-01-14,6273,68330
2022-01-14,6367,25300
2022-01-14,6861,62160
2022-01-14,6954,22695
2022-01-14,7309,27890
2022-01-14,7453,1628
2022-01-14,7717,3625
2022-01-14,7974,51920
2022-01-14,8035,65220
2022-01-14,9022,14665
2022-01-14,9435,16360
2022-01-14,9605,15890
2022-01-14,9843,16725
2022-01-14,9983,63910
2022-01-17,1878,13440
2022-01-17,3349,15600
2022-01-17,4628,39400.0
2022-01-17,4684,18790
2022-01-17,4922,10940
2022-01-17,6146,35200
2022-01-17,6273,67490
2022-01-17,6367,25450
2022-01-17,6861,62200
2022-01-17,6954,22900
2022-01-17,7309,27740
2022-01-17,7453,1616
2022-01-17,7717,3625
2022-01-17,7974,52780
2022-01-17,8035,65510
2022-01-17,9022,14745
2022-01-17,9435,16290
2022-01-17,9605,16020
2022-01-17,9843,16720
2022-01-17,9983,65100
2022-01-18,1878,13390
2022-01-18,3349,15150
2022-01-18,4628,40100.0
2022-01-18,4684,18800
2022-01-18,4922,11270
2022-01-18,6146,35300
2022-01-18,6273,67480
2022-01-18,6367,25220
2022-01-18,6861,63500
2022-01-18,6954,23020
2022-01-18,7309,27695
2022-01-18,7453,1594
2022-01-18,7717,3590
2022-01-18,7974,53410
2022-01-18,8035,65560
2022-01-18,9022,14825
2022-01-18,9435,16130
2022-01-18,9605,15870
2022-01-18,9843,16730
2022-01-18,9983,66640
2022-01-19,1878,13070
2022-01-19,3349,14820
2022-01-19,4628,37550.0
2022-01-19,4684,18380
2022-01-19,4922,11070
2022-01-19,6146,33950
2022-01-19,6273,66520
2022-01-19,6367,24420
2022-01-19,6861,62050
2022-01-19,6954,22480
2022-01-19,7309,26910
2022-01-19,7453,1530
2022-01-19,7717,3485
2022-01-19,7974,53290
2022-01-19,8035,61590
2022-01-19,9022,14705
2022-01-19,9435,15210
2022-01-19,9605,15510
2022-01-19,9843,16395
2022-01-19,9983,66490
2022-01-20,1878,13340
2022-01-20,3349,14780
2022-01-20,4628,37450.0
2022-01-20,4684,18530
2022-01-20,4922,10980
2022-01-20,6146,33250
2022-01-20,6273,67600
2022-01-20,6367,24810
2022-01-20,6861,61940
2022-01-20,6954,22715
2022-01-20,7309,26860
2022-01-20,7453,1535
2022-01-20,7717,3520
2022-01-20,7974,54780
2022-01-20,8035,61310
2022-01-20,9022,14760
2022-01-20,9435,15500
2022-01-20,9605,15590
2022-01-20,9843,16440
2022-01-20,9983,67640
2022-01-21,1878,13360
2022-01-21,3349,14920
2022-01-21,4628,37450.0
2022-01-21,4684,18480
2022-01-21,4922,10790
2022-01-21,6146,32000
2022-01-21,6273,65610
2022-01-21,6367,24765
2022-01-21,6861,60700
2022-01-21,6954,23105
2022-01-21,7309,26205
2022-01-21,7453,1499
2022-01-21,7717,3490
2022-01-21,7974,54710
2022-01-21,8035,57510
2022-01-21,9022,15060
2022-01-21,9435,15090
2022-01-21,9605,15970
2022-01-21,9843,16500
2022-01-21,9983,67390
2022-01-24,1878,13420
2022-01-24,3349,14840
2022-01-24,4684,18260
2022-01-24,4922,10940
2022-01-24,6146,32350
2022-01-24,6273,65480
2022-01-24,6367,24830
2022-01-24,6861,60050
2022-01-24,6954,23140
2022-01-24,7309,26665
2022-01-24,7453,1561
2022-01-24,7717,3485
2022-01-24,7974,53900
2022-01-24,8035,58440
2022-01-24,9022,15025
2022-01-24,9435,14770
2022-01-24,9605,16090
2022-01-24,9843,17295
2022-01-24,9983,68180
2022-01-25,1878,13330
2022-01-25,3349,14670
2022-01-25,4628,37500.0
2022-01-25,4684,18200
2022-01-25,4922,10850
2022-01-25,6146,31250
2022-01-25,6273,63690
2022-01-25,6367,24295
2022-01-25,6861,58780
2022-01-25,6954,22920
2022-01-25,7309,26840
2022-01-25,7453,1580
2022-01-25,7717,3390
2022-01-25,7974,53950
2022-01-25,8035,56870
2022-01-25,9022,14920
2022-01-25,9435,14270
2022-01-25,9605,15990
2022-01-25,9843,16835
2022-01-25,9983,68000
2022-01-26,1878,13090
2022-01-26,3349,14280
2022-01-26,4684,18640
2022-01-26,4922,10650
2022-01-26,6146,32300
2022-01-26,6273,63370
2022-01-26,6367,24100
2022-01-26,6861,57720
2022-01-26,6954,22165
2022-01-26,7309,26245
2022-01-26,7453,1616
2022-01-26,7717,3390
2022-01-26,7974,56300
2022-01-26,8035,56410
2022-01-26,9022,14935
2022-01-26,9435,13920
2022-01-26,9605,15780
2022-01-26,9843,16640
2022-01-26,9983,67620
2022-01-27,1878,13100
2022-01-27,3349,14190
2022-01-27,4628,37400.0
2022-01-27,4684,17990
2022-01-27,4922,10040
2022-01-27,6146,31650
2022-01-27,6273,61440
2022-01-27,6367,23075
2022-01-27,6861,56360
2022-01-27,6954,22410
2022-01-27,7309,24805
2022-01-27,7453,1553
2022-01-27,7717,3230
2022-01-27,7974,56080
2022-01-27,8035,53680
2022-01-27,9022,14685
2022-01-27,9435,13180
2022-01-27,9605,15800
2022-01-27,9843,16040
2022-01-27,9983,65840
2022-01-28,1878,12790
2022-01-28,3349,14270
2022-01-28,4684,18690
2022-01-28,4922,10260
2022-01-28,6146,30700
2022-01-28,6273,63720
2022-01-28,6367,23915
2022-01-28,6861,57340
2022-01-28,6954,22670
2022-01-28,7309,25065
2022-01-28,7453,1581
2022-01-28,7717,3340
2022-01-28,7974,56100
2022-01-28,8035,52970
2022-01-28,9022,14955
2022-01-28,9435,13340
2022-01-28,9605,16710
2022-01-28,9843,16350
2022-01-28,9983,68090
2022-01-31,1878,13100
2022-01-31,3349,14310
2022-01-31,4684,18770
2022-01-31,4922,10420
2022-01-31,6146,31100
2022-01-31,6273,63390
2022-01-31,6367,23825
2022-01-31,6861,58230
2022-01-31,6954,22460
2022-01-31,7309,25615
2022-01-31,7453,1636
2022-01-31,7717,3460
2022-01-31,7974,56160
2022-01-31,8035,54730
2022-01-31,9022,15145
2022-01-31,9435,13700
2022-01-31,9605,16990
2022-01-31,9843,16400
2022-01-31,9983,66990
2022-02-01,1878,12730
2022-02-01,3349,14320
2022-02-01,4684,18800
2022-02-01,4922,10900
2022-02-01,6146,32050
2022-02-01,6273,64100
2022-02-01,6367,23885
2022-02-01,6861,59410
2022-02-01,6954,22870
2022-02-01,7309,25860
2022-02-01,7453,1654
2022-02-01,7717,3400
2022-02-01,7974,56720
2022-02-01,8035,55370
2022-02-01,9022,15505
2022-02-01,9435,13710
2022-02-01,9605,16970
2022-02-01,9843,16305
2022-02-01,9983,65670
2022-02-02,1878,12940
2022-02-02,3349,14280
2022-02-02,4628,37350.0
2022-02-02,4684,19070
2022-02-02,4922,11340
2022-02-02,6146,33150
2022-02-02,6273,66420
2022-02-02,6367,23605
2022-02-02,6861,63080
2022-02-02,6954,22975
2022-02-02,7309,26710
2022-02-02,7453,1718
2022-02-02,7717,3485
2022-02-02,7974,57740
2022-02-02,8035,56500
2022-02-02,9022,15710
2022-02-02,9435,14150
2022-02-02,9605,17650
2022-02-02,9843,16565
2022-02-02,9983,65240
2022-02-03,1878,13070
2022-02-03,3349,14070
2022-02-03,4628,37250.0
2022-02-03,4684,18730
2022-02-03,4922,11230
2022-02-03,6146,32200
2022-02-03,6273,63910
2022-02-03,6367,22700
2022-02-03,6861,60060
2022-02-03,6954,22630
2022-02-03,7309,26070
2022-02-03,7453,1732
2022-02-03,7717,3395
2022-02-03,7974,56150
2022-02-03,8035,55200
2022-02-03,9022,15055
2022-02-03,9435,13790
2022-02-03,9605,17290
2022-02-03,9843,16420
2022-02-03,9983,62850
2022-02-04,1878,13250
2022-02-04,3349,14150
2022-02-04,4684,19000
2022-02-04,4922,11400
2022-02-04,6146,32400
2022-02-04,6273,64380
2022-02-04,6367,22745
2022-02-04,6861,59990
2022-02-04,6954,22575
2022-02-04,7309,26080
2022-02-04,7453,1768
2022-02-04,7717,3425
2022-02-04,7974,58180
2022-02-04,8035,56040
2022-02-04,9022,15145
2022-02-04,9435,14130
2022-02-04,9605,17670
2022-02-04,9843,16595
2022-02-04,9983,65090
2022-02-07,1878,13480
2022-02-07,3349,14100
2022-02-07,4628,37200.0
2022-02-07,4684,18840
2022-02-07,4922,10980
2022-02-07,6146,32250
2022-02-07,6273,63910
2022-02-07,6367,22385
2022-02-07,6861,58760
2022-02-07,6954,22270
2022-02-07,7309,25940
2022-02-07,7453,1763
2022-02-07,7717,3400
2022-02-07,7974,58490
2022-02-07,8035,55270
2022-02-07,9022,14950
2022-02-07,9435,14130
2022-02-07,9605,17600
2022-02-07,9843,16250
2022-02-07,9983,64050
2022-02-08,1878,13540
2022-02-08,3349,14410
2022-02-08,4628,37900.0
2022-02-08,4684,18630
2022-02-08,4922,11310
2022-02-08,6146,32200
2022-02-08,6273,63460
2022-02-08,6367,22480
2022-02-08,6861,58460
2022-02-08,6954,22575
2022-02-08,7309,25975
2022-02-08,7453,1744
2022-02-08,7717,3445
2022-02-08,7974,57680
2022-02-08,8035,55490
2022-02-08,9022,15505
2022-02-08,9435,14100
2022-02-08,9605,17820
2022-02-08,9843,16120
2022-02-08,9983,64150
2022-02-09,1878,13330
2022-02-09,3349,14450
2022-02-09,4684,18930
2022-02-09,4922,11500
2022-02-09,6146,33400
2022-02-09,6273,64210
2022-02-09,6367,22575
2022-02-09,6861,59500
2022-02-09,6954,22880
2022-02-09,7309,30350
2022-02-09,7453,1736
2022-02-09,7717,3525
2022-02-09,7974,58090
2022-02-09,8035,56130
2022-02-09,9022,15655
2022-02-09,9435,14600
2022-02-09,9605,17790
2022-02-09,9843,16330
2022-02-09,9983,64740
2022-02-10,1878,13480
2022-02-10,3349,14970
2022-02-10,4628,37900.0
2022-02-10,4684,19230
2022-02-10,4922,11880
2022-02-10,6146,34350
2022-02-10,6273,65750
2022-02-10,6367,22450
2022-02-10,6861,60360
2022-02-10,6954,23100
2022-02-10,7309,29770
2022-02-10,7453,1745
2022-02-10,7717,3540
2022-02-10,7974,58060
2022-02-10,8035,57150
2022-02-10,9022,15780
2022-02-10,9435,14710
2022-02-10,9605,17820
2022-02-10,9843,16680
2022-02-10,9983,64310
2022-02-14,1878,13460
2022-02-14,3349,14800
2022-02-14,4684,18630
2022-02-14,4922,11580
2022-02-14,6146,33550
2022-02-14,6273,63190
2022-02-14,6367,21530
2022-02-14,6861,56820
2022-02-14,6954,22835
2022-02-14,7309,29150
2022-02-14,7453,1766
2022-02-14,7717,3375
2022-02-14,7974,57750
2022-02-14,8035,56580
2022-02-14,9022,15980
2022-02-14,9435,14490
2022-02-14,9605,17550
2022-02-14,9843,16580
2022-02-14,9983,62320
2022-02-15,1878,12910
2022-02-15,3349,15250
2022-02-15,4684,18720
2022-02-15,4922,12560
2022-02-15,6146,32850
2022-02-15,6273,65420
2022-02-15,6367,21505
2022-02-15,6861,57590
2022-02-15,6954,22865
2022-02-15,7309,28250
2022-02-15,7453,1739
2022-02-15,7717,3420
2022-02-15,7974,57420
2022-02-15,8035,55220
2022-02-15,9022,15825
2022-02-15,9435,14720
2022-02-15,9605,17300
2022-02-15,9843,16670
2022-02-15,9983,62970
2022-02-16,1878,13140
2022-02-16,3349,15140
2022-02-16,4628,37250.0
2022-02-16,4684,18760
2022-02-16,4922,13080
2022-02-16,6146,33600
2022-02-16,6273,69290
2022-02-16,6367,21960
2022-02-16,6861,57380
2022-02-16,6954,23250
2022-02-16,7309,27855
2022-02-16,7453,1737
2022-02-16,7717,3570
2022-02-16,7974,58610
2022-02-16,8035,57930
2022-02-16,9022,16200
2022-02-16,9435,14510
2022-02-16,9605,17660
2022-02-16,9843,16785
2022-02-16,9983,64430
2022-02-17,1878,12900
2022-02-17,3349,14890
2022-02-17,4628,37850.0
2022-02-17,4684,18400
2022-02-17,4922,13320
2022-02-17,6146,34650
2022-02-17,6273,68710
2022-02-17,6367,21765
2022-02-17,6861,54880
2022-02-17,6954,22780
2022-02-17,7309,26600
2022-02-17,7453,1729
2022-02-17,7717,3520
2022-02-17,7974,58760
2022-02-17,8035,58220
2022-02-17,9022,16350
2022-02-17,9435,14490
2022-02-17,9605,17370
2022-02-17,9843,16470
2022-02-17,9983,63700
2022-02-18,1878,12840
2022-02-18,3349,15190
2022-02-18,4628,38300.0
2022-02-18,4684,18110
2022-02-18,4922,13470
2022-02-18,6146,33850
2022-02-18,6273,67630
2022-02-18,6367,21745
2022-02-18,6861,53970
2022-02-18,6954,21460
2022-02-18,7309,26860
2022-02-18,7453,1743
2022-02-18,7717,3535
2022-02-18,7974,59480
2022-02-18,8035,56810
2022-02-18,9022,16350
2022-02-18,9435,14360
2022-02-18,9605,17280
2022-02-18,9843,16350
2022-02-18,9983,64340
2022-02-21,1878,12760
2022-02-21,3349,15760
2022-02-21,4628,38000.0
2022-02-21,4684,17660
2022-02-21,4922,13360
2022-02-21,6146,33950
2022-02-21,6273,67490
2022-02-21,6367,21450
2022-02-21,6861,52500
2022-02-21,6954,21525
2022-02-21,7309,26620
2022-02-21,7453,1764
2022-02-21,7717,3525
2022-02-21,7974,58770
2022-02-21,8035,55140
2022-02-21,9022,15930
2022-02-21,9435,14190
2022-02-21,9605,17120
2022-02-21,9843,16525
2022-02-21,9983,64410
2022-02-22,1878,12940
2022-02-22,3349,15810
2022-02-22,4628,37900.0
2022-02-22,4684,17360
2022-02-22,4922,12950
2022-02-22,6146,32200
2022-02-22,6273,67010
2022-02-22,6367,21150
2022-02-22,6861,52210
2022-02-22,6954,21415
2022-02-22,7309,26485
2022-02-22,7453,1738
2022-02-22,7717,3485
2022-02-22,7974,57910
2022-02-22,8035,52910
2022-02-22,9022,15445
2022-02-22,9435,14250
2022-02-22,9605,17760
2022-02-22,9843,16550
2022-02-22,9983,63360
2022-02-24,1878,12570
2022-02-24,3349,15950
2022-02-24,4628,37400.0
2022-02-24,4684,18030
2022-02-24,4922,12780
2022-02-24,6146,30350
2022-02-24,6273,65600
2022-02-24,6367,20355
2022-02-24,6861,52610
2022-02-24,6954,20255
2022-02-24,7309,26335
2022-02-24,7453,1719
2022-02-24,7717,3380
2022-02-24,7974,57050
2022-02-24,8035,53500
2022-02-24,9022,15105
2022-02-24,9435,14130
2022-02-24,9605,17780
2022-02-24,9843,16955
2022-02-24,9983,60940
2022-02-25,1878,12580
2022-02-25,3349,15670
