Date,#3349,#4051,#4488,#4628,#4661,#4684,#5217,#6146,#6273,#6532,#6806,#6861,#6954,#7309,#7974,#8035,#9022,#9435,#9843,#9983
1/11/2022,15730,22280,5260,38950,18500,19110,40000,34700,72510,35900,17810,,,,,,,,,59260
1/12/2022,16070,22200,5420,39000,18580,19290,40650,35750,74870,39100,18430,,,,,,,,,60300
1/13/2022,16380,20840,5180,,18635,18350,39100,34900,72220,37850,18020,,,,,,,,,59140
1/14/2022,15670,19650,5120,38750,18440,18250,39550,35150,68330,36200,17680,,,,,,,,,63910
1/17/2022,15600,18940,5030,39400,18335,18790,,35200,67490,42100,17780,,,,,,,,,65100
1/18/2022,15150,19820,5030,40100,18815,18800,40000,35300,67480,42650,17700,,,,,,,,,66640
1/19/2022,14820,18290,4720,37550,18475,18380,,33950,66520,42350,17170,,,,,,,,,66490
1/20/2022,14780,18610,4870,37450,18735,18530,39900,33250,67600,44650,17450,,,,,,,,,67640
1/21/2022,14920,18450,4725,37450,18975,18480,38700,32000,65610,44700,17460,,,,,,,,,67390
1/24/2022,14840,17920,4800,,18885,18260,,32350,65480,42950,17270,,,,,,,,,68180
1/25/2022,14670,16820,4480,37500,18455,18200,38000,31250,63690,40150,17110,,,,,,,,,68000
1/26/2022,14280,17120,4675,,18500,18640,38000,32300,63370,41350,16710,,,,,,,,,67620
1/27/2022,14190,15450,4305,37400,18380,17990,38000,31650,61440,39100,16030,,,,,,,,,65840
1/28/2022,14270,15030,4175,,18780,18690,36700,30700,63720,39200,16450,,,,,,,,,68090
1/31/2022,14310,14840,4400,,19880,18770,41500,31100,63390,42900,17010,,,,,,,,,66990
2/1/2022,14320,15730,4630,,19955,18800,41000,32050,64100,43900,17040,,,,,,,,,65670
2/2/2022,14280,16670,4880,37350,20245,19070,,33150,66420,42550,17510,,,,,,,,,65240
2/3/2022,14070,15400,4725,37250,20285,18730,,32200,63910,40300,16790,,,,,,,,,62850
2/4/2022,14150,15370,4670,,20915,19000,40500,32400,64380,41500,17400,,,,,,,,,65090
2/7/2022,14100,15010,4450,37200,20920,18840,,32250,63910,40650,17280,,,,,,,,,64050
2/8/2022,14410,14610,4385,37900,21830,18630,,32200,63460,41450,16780,,,,,,,,,64150
2/9/2022,14450,14890,4595,,21780,18930,,33400,64210,43350,17490,,,,,,,,,64740
2/10/2022,14970,15830,4775,37900,22235,19230,,34350,65750,44850,17460,,,,,,,,,64310
2/14/2022,14800,14110,4075,,22340,18630,,33550,63190,41400,17130,,,,,,,,,62320
2/15/2022,15250,13760,4160,,21830,18720,40500,32850,65420,40600,17150,,,,,,,,,62970
2/16/2022,15140,13780,4220,37250,22475,18760,40000,33600,69290,42850,17500,,,,,,,,,64430
2/17/2022,14890,13200,4000,37850,22435,18400,,34650,68710,39950,17280,,,,,,,,,63700
2/18/2022,15190,12900,4075,38300,21380,18110,,33850,67630,41500,17200,,,,,,,,,64340
2/21/2022,15760,12570,3995,38000,21155,17660,,33950,67490,42700,16980,,,,,,,,,64410
2/22/2022,15810,12270,3850,37900,20450,17360,,32200,67010,42950,16760,,,,,,,,,63360
2/24/2022,15950,12550,3670,37400,20595,18030,40500,30350,65600,42150,16700,,,,,,,,,60940
2/25/2022,15670,13640,4005,37350,20895,18130,,32350,68120,45650,17230,,,,,,,,,61750
2/28/2022,15870,14050,4090,38000,21130,18310,,32150,68050,45350,17150,,,,,,,,,61830
